iter	Passed	Remaining
0	37	37592
1	90	45016
2	139	46480
3	190	47443
4	237	47264
5	284	47051
6	334	47499
7	399	49598
8	465	51229
9	518	51309
10	553	49793
11	595	48990
12	646	49092
13	692	48751
14	747	49114
15	806	49593
16	846	48926
17	913	49849
18	973	50277
19	1031	50530
20	1087	50702
21	1152	51239
22	1190	50562
23	1236	50279
24	1287	50208
25	1337	50088
26	1388	50021
27	1454	50476
28	1502	50305
29	1543	49908
30	1595	49861
31	1643	49709
32	1697	49747
33	1745	49598
34	1797	49564
35	1857	49732
36	1911	49744
37	1954	49476
38	2017	49715
39	2069	49665
40	2152	50352
41	2199	50161
42	2240	49858
43	2285	49650
44	2350	49888
45	2393	49648
46	2460	49887
47	2512	49831
48	2571	49906
49	2602	49450
50	2613	48640
51	2655	48416
52	2711	48453
53	2732	47870
54	2786	47882
55	2831	47737
56	2882	47690
57	2945	47833
58	3007	47966
59	3024	47384
60	3076	47363
61	3121	47230
62	3178	47274
63	3218	47065
64	3255	46832
65	3300	46708
66	3355	46722
67	3418	46856
68	3445	46486
69	3467	46067
70	3526	46145
71	3585	46208
72	3634	46159
73	3679	46041
74	3736	46089
75	3793	46116
76	3829	45908
77	3891	45998
78	3954	46103
79	4030	46355
80	4109	46626
81	4158	46555
82	4195	46354
83	4230	46133
84	4289	46180
85	4362	46364
86	4453	46733
87	4528	46930
88	4590	46985
89	4648	47001
90	4696	46913
91	4745	46831
92	4780	46624
93	4851	46761
94	4902	46705
95	4971	46818
96	4999	46545
97	5050	46482
98	5090	46331
99	5150	46356
100	5193	46226
101	5234	46085
102	5288	46053
103	5347	46074
104	5395	45992
105	5444	45921
106	5491	45827
107	5530	45680
108	5586	45666
109	5640	45636
110	5690	45576
111	5732	45451
112	5772	45313
113	5822	45255
114	5867	45150
115	5920	45119
116	5978	45123
117	6034	45108
118	6074	44971
119	6138	45012
120	6176	44871
121	6219	44762
122	6263	44660
123	6309	44571
124	6347	44433
125	6413	44489
126	6463	44427
127	6507	44329
128	6548	44216
129	6602	44183
130	6662	44195
131	6726	44231
132	6763	44091
133	6831	44146
134	6869	44016
135	6915	43935
136	6986	44012
137	7024	43878
138	7069	43787
139	7121	43748
140	7176	43722
141	7214	43593
142	7262	43521
143	7317	43497
144	7377	43503
145	7410	43347
146	7458	43281
147	7513	43252
148	7578	43281
149	7636	43272
150	7682	43192
151	7728	43114
152	7767	42997
153	7808	42897
154	7847	42782
155	7910	42799
156	7963	42761
157	8024	42765
158	8064	42656
159	8099	42522
160	8171	42583
161	8216	42504
162	8252	42377
163	8298	42301
164	8349	42252
165	8399	42199
166	8461	42206
167	8518	42188
168	8569	42138
169	8633	42153
170	8695	42157
171	8747	42108
172	8787	42006
173	8831	41926
174	8879	41862
175	8967	41984
176	9016	41925
177	9087	41967
178	9145	41948
179	9187	41855
180	9224	41738
181	9270	41665
182	9325	41632
183	9394	41661
184	9465	41698
185	9510	41621
186	9565	41586
187	9629	41591
188	9696	41609
189	9756	41593
190	9812	41560
191	9879	41574
192	9937	41552
193	10019	41625
194	10089	41651
195	10158	41668
196	10206	41604
197	10256	41544
198	10311	41506
199	10382	41531
200	10444	41517
201	10509	41519
202	10566	41485
203	10613	41412
204	10661	41344
205	10717	41308
206	10769	41257
207	10833	41251
208	10912	41301
209	10981	41309
210	11050	41320
211	11113	41310
212	11173	41283
213	11213	41185
214	11266	41136
215	11328	41117
216	11390	41099
217	11462	41118
218	11550	41190
219	11596	41114
220	11640	41030
221	11675	40916
222	11714	40817
223	11757	40731
224	11794	40626
225	11834	40529
226	11868	40415
227	11900	40293
228	11945	40217
229	12005	40191
230	12083	40225
231	12119	40119
232	12171	40065
233	12231	40039
234	12333	40149
235	12415	40194
236	12467	40137
237	12532	40123
238	12614	40166
239	12697	40208
240	12760	40188
241	12811	40128
242	12866	40083
243	12931	40067
244	12988	40024
245	13057	40020
246	13123	40007
247	13181	39970
248	13230	39904
249	13285	39856
250	13376	39915
251	13443	39903
252	13520	39921
253	13599	39941
254	13670	39938
255	13748	39957
256	13796	39886
257	13843	39813
258	13909	39794
259	13970	39763
260	14054	39793
261	14144	39841
262	14199	39790
263	14253	39736
264	14316	39708
265	14408	39758
266	14476	39743
267	14559	39767
268	14641	39787
269	14703	39753
270	14765	39720
271	14854	39756
272	14927	39752
273	15001	39747
274	15071	39733
275	15153	39749
276	15205	39686
277	15257	39626
278	15308	39559
279	15369	39521
280	15447	39524
281	15502	39469
282	15548	39392
283	15612	39359
284	15673	39320
285	15767	39363
286	15832	39332
287	15905	39322
288	15977	39308
289	16037	39263
290	16124	39286
291	16186	39246
292	16231	39165
293	16293	39126
294	16364	39108
295	16437	39095
296	16535	39139
297	16625	39165
298	16680	39107
299	16733	39045
300	16794	39001
301	16859	38965
302	16920	38922
303	16996	38914
304	17060	38876
305	17144	38884
306	17192	38809
307	17233	38719
308	17267	38615
309	17320	38551
310	17375	38495
311	17437	38451
312	17489	38386
313	17556	38355
314	17615	38307
315	17677	38263
316	17745	38233
317	17826	38231
318	17896	38205
319	17953	38151
320	18028	38135
321	18086	38081
322	18167	38079
323	18233	38042
324	18306	38020
325	18379	37998
326	18430	37932
327	18504	37912
328	18578	37890
329	18643	37851
330	18713	37822
331	18767	37760
332	18830	37716
333	18900	37687
334	18962	37641
335	19026	37599
336	19082	37542
337	19155	37518
338	19209	37455
339	19267	37400
340	19336	37368
341	19422	37367
342	19497	37346
343	19561	37302
344	19641	37289
345	19695	37227
346	19749	37166
347	19821	37136
348	19874	37073
349	19946	37043
350	20039	37053
351	20109	37020
352	20158	36946
353	20200	36862
354	20247	36788
355	20297	36717
356	20359	36669
357	20415	36610
358	20480	36568
359	20549	36532
360	20620	36500
361	20700	36483
362	20774	36455
363	20848	36426
364	20921	36397
365	20990	36360
366	21071	36344
367	21118	36268
368	21186	36228
369	21239	36163
370	21290	36096
371	21354	36049
372	21422	36010
373	21495	35978
374	21569	35949
375	21620	35881
376	21688	35841
377	21763	35812
378	21827	35764
379	21899	35731
380	21952	35666
381	22005	35600
382	22063	35543
383	22126	35494
384	22187	35442
385	22268	35421
386	22348	35399
387	22410	35349
388	22471	35296
389	22533	35244
390	22587	35181
391	22645	35124
392	22710	35077
393	22776	35031
394	22836	34978
395	22898	34925
396	22957	34870
397	23020	34820
398	23078	34762
399	23132	34698
400	23179	34624
401	23220	34542
402	23261	34460
403	23313	34392
404	23370	34335
405	23435	34287
406	23490	34225
407	23550	34171
408	23610	34116
409	23670	34062
410	23734	34013
411	23795	33960
412	23852	33901
413	23914	33849
414	23968	33787
415	24027	33730
416	24098	33691
417	24162	33642
418	24205	33564
419	24243	33478
420	24288	33404
421	24348	33349
422	24400	33284
423	24465	33235
424	24527	33183
425	24588	33130
426	24623	33043
427	24676	32978
428	24740	32930
429	24799	32873
430	24856	32814
431	24915	32758
432	24958	32681
433	25018	32628
434	25068	32560
435	25118	32493
436	25156	32409
437	25197	32331
438	25241	32256
439	25295	32193
440	25337	32117
441	25390	32054
442	25446	31995
443	25489	31918
444	25527	31837
445	25582	31776
446	25631	31710
447	25679	31640
448	25722	31566
449	25782	31512
450	25847	31463
451	25892	31391
452	25939	31321
453	25993	31260
454	26039	31190
455	26092	31128
456	26143	31063
457	26184	30987
458	26227	30913
459	26277	30847
460	26321	30775
461	26368	30705
462	26429	30653
463	26475	30583
464	26526	30519
465	26569	30446
466	26630	30393
467	26696	30347
468	26782	30323
469	26838	30264
470	26892	30203
471	26953	30151
472	27025	30110
473	27093	30065
474	27137	29994
475	27175	29915
476	27214	29839
477	27266	29776
478	27308	29703
479	27365	29645
480	27405	29570
481	27450	29501
482	27494	29429
483	27537	29358
484	27584	29291
485	27634	29226
486	27684	29162
487	27737	29101
488	27805	29056
489	27865	29003
490	27918	28941
491	27958	28867
492	28024	28820
493	28076	28758
494	28135	28703
495	28174	28628
496	28218	28559
497	28271	28498
498	28316	28430
499	28353	28353
500	28395	28282
501	28451	28224
502	28502	28162
503	28550	28097
504	28603	28037
505	28660	27980
506	28708	27915
507	28764	27858
508	28828	27809
509	28884	27752
510	28940	27694
511	29034	27673
512	29116	27641
513	29159	27570
514	29200	27499
515	29238	27425
516	29282	27356
517	29343	27304
518	29396	27244
519	29450	27185
520	29496	27118
521	29543	27053
522	29585	26983
523	29649	26933
524	29701	26872
525	29752	26811
526	29817	26762
527	29876	26708
528	29939	26657
529	30003	26606
530	30070	26559
531	30135	26510
532	30176	26440
533	30215	26368
534	30261	26301
535	30324	26251
536	30380	26194
537	30441	26140
538	30496	26083
539	30542	26017
540	30581	25946
541	30639	25891
542	30690	25829
543	30740	25767
544	30781	25697
545	30839	25643
546	30896	25586
547	30959	25535
548	31034	25494
549	31092	25439
550	31139	25374
551	31180	25305
552	31237	25249
553	31308	25205
554	31364	25148
555	31414	25086
556	31469	25028
557	31535	24979
558	31591	24922
559	31647	24866
560	31727	24827
561	31789	24775
562	31858	24728
563	31911	24669
564	31950	24599
565	31997	24534
566	32060	24483
567	32112	24423
568	32148	24351
569	32188	24282
570	32235	24218
571	32286	24158
572	32334	24095
573	32382	24032
574	32427	23968
575	32477	23907
576	32526	23845
577	32564	23775
578	32610	23711
579	32652	23645
580	32703	23584
581	32752	23523
582	32788	23452
583	32846	23397
584	32890	23332
585	32928	23263
586	32979	23203
587	33040	23150
588	33096	23094
589	33136	23027
590	33173	22957
591	33207	22886
592	33242	22815
593	33293	22756
594	33355	22704
595	33409	22646
596	33471	22594
597	33527	22538
598	33582	22481
599	33644	22429
600	33701	22373
601	33761	22320
602	33830	22273
603	33896	22223
604	33969	22178
605	34040	22131
606	34118	22089
607	34163	22026
608	34218	21969
609	34281	21917
610	34348	21868
611	34421	21822
612	34472	21763
613	34528	21707
614	34590	21654
615	34652	21601
616	34713	21548
617	34783	21500
